MTSS,D,30/06/16,00:00,243.05,1,608,640
MTSS,D,01/07/16,00:00,245.05,2,679,710
MTSS,D,04/07/16,00:00,235.45,2,542,570
MTSS,D,05/07/16,00:00,235.15,1,920,510
MTSS,D,06/07/16,00:00,235.2,962,470
MTSS,D,07/07/16,00:00,231.5,5,118,070
MTSS,D,08/07/16,00:00,232,2,677,580
MTSS,D,11/07/16,00:00,238.2,3,179,820
MTSS,D,12/07/16,00:00,238.05,2,083,450
MTSS,D,13/07/16,00:00,235.85,1,113,510
MTSS,D,14/07/16,00:00,232.5,2,365,130
MTSS,D,15/07/16,00:00,235.2,1,726,030
MTSS,D,18/07/16,00:00,236.9,1,053,800
MTSS,D,19/07/16,00:00,235.35,2,936,350
MTSS,D,20/07/16,00:00,239.5,1,367,100
MTSS,D,21/07/16,00:00,244.3,2,462,570
MTSS,D,22/07/16,00:00,243.9,2,552,010
MTSS,D,25/07/16,00:00,245.2,1,811,870
MTSS,D,26/07/16,00:00,248.8,1,769,990
MTSS,D,27/07/16,00:00,249.35,2,256,360
MTSS,D,28/07/16,00:00,251.8,2,141,350
MTSS,D,29/07/16,00:00,252,1,764,530
MTSS,D,01/08/16,00:00,250.95,1,851,660
MTSS,D,02/08/16,00:00,248,1,775,910
MTSS,D,03/08/16,00:00,246,1,525,670
MTSS,D,04/08/16,00:00,248.6,2,136,350
MTSS,D,05/08/16,00:00,247.2,1,118,220
MTSS,D,08/08/16,00:00,250.9,1,576,760
MTSS,D,09/08/16,00:00,252.4,1,531,120
MTSS,D,10/08/16,00:00,250,1,396,490
MTSS,D,11/08/16,00:00,250.5,1,364,060
MTSS,D,12/08/16,00:00,251.8,1,792,560
MTSS,D,15/08/16,00:00,249.85,1,122,950
MTSS,D,16/08/16,00:00,251.9,947,230
MTSS,D,17/08/16,00:00,247.55,1,247,090
MTSS,D,18/08/16,00:00,240,5,157,050
MTSS,D,19/08/16,00:00,236.65,2,183,870
MTSS,D,22/08/16,00:00,237.1,1,660,020
MTSS,D,23/08/16,00:00,237.35,1,648,420
MTSS,D,24/08/16,00:00,235.25,1,703,600
MTSS,D,25/08/16,00:00,237.5,1,629,830
MTSS,D,26/08/16,00:00,237.2,1,752,100
MTSS,D,29/08/16,00:00,236.05,1,318,590
MTSS,D,30/08/16,00:00,240.75,2,348,480
MTSS,D,31/08/16,00:00,239.1,3,294,570
MTSS,D,01/09/16,00:00,237,2,283,070
MTSS,D,02/09/16,00:00,239.5,1,444,820
MTSS,D,05/09/16,00:00,238.85,746,190
MTSS,D,06/09/16,00:00,239.9,1,377,540
MTSS,D,07/09/16,00:00,244.6,5,408,820
MTSS,D,08/09/16,00:00,246.35,2,097,940
MTSS,D,09/09/16,00:00,243.85,1,527,280
MTSS,D,12/09/16,00:00,240.7,1,582,730
MTSS,D,13/09/16,00:00,237.4,2,018,530
MTSS,D,14/09/16,00:00,235.55,1,660,370
MTSS,D,15/09/16,00:00,230.2,4,510,040
MTSS,D,16/09/16,00:00,232,3,153,210
MTSS,D,19/09/16,00:00,231,1,653,660
MTSS,D,20/09/16,00:00,230.5,1,107,730
MTSS,D,21/09/16,00:00,233,2,669,570
MTSS,D,22/09/16,00:00,234.8,2,376,600
MTSS,D,23/09/16,00:00,231.85,2,672,110
MTSS,D,26/09/16,00:00,230.7,2,022,530
MTSS,D,27/09/16,00:00,229.9,2,648,690
MTSS,D,28/09/16,00:00,229.8,2,943,930
MTSS,D,29/09/16,00:00,230.05,1,158,450
MTSS,D,30/09/16,00:00,227.5,3,322,980
MTSS,D,03/10/16,00:00,229.4,2,241,820
MTSS,D,04/10/16,00:00,229.05,2,187,110
MTSS,D,05/10/16,00:00,228.4,2,006,800
MTSS,D,06/10/16,00:00,230.8,2,480,580
MTSS,D,07/10/16,00:00,230.3,2,185,500
MTSS,D,10/10/16,00:00,232.55,2,377,800
MTSS,D,11/10/16,00:00,231.95,2,251,820
MTSS,D,12/10/16,00:00,232.4,4,432,750
MTSS,D,13/10/16,00:00,221.75,4,388,580
MTSS,D,14/10/16,00:00,219.45,2,676,320
MTSS,D,17/10/16,00:00,219.45,1,479,640
MTSS,D,18/10/16,00:00,220.15,1,336,780
MTSS,D,19/10/16,00:00,218.8,1,330,920
MTSS,D,20/10/16,00:00,218.8,1,107,530
MTSS,D,21/10/16,00:00,217.6,1,233,300
MTSS,D,24/10/16,00:00,217.3,2,200,400
MTSS,D,25/10/16,00:00,217.45,1,846,410
MTSS,D,26/10/16,00:00,217.2,857,500
MTSS,D,27/10/16,00:00,213.4,2,687,180
MTSS,D,28/10/16,00:00,213.3,2,626,380
MTSS,D,31/10/16,00:00,223.5,8,776,270
MTSS,D,01/11/16,00:00,223.7,3,328,460
MTSS,D,02/11/16,00:00,220.6,2,231,950
MTSS,D,03/11/16,00:00,220.5,2,346,180
MTSS,D,07/11/16,00:00,220.8,1,155,200
MTSS,D,08/11/16,00:00,219.2,1,232,680
MTSS,D,09/11/16,00:00,220.7,1,829,540
MTSS,D,10/11/16,00:00,224.3,4,985,640
MTSS,D,11/11/16,00:00,221.9,1,510,620
MTSS,D,14/11/16,00:00,221.55,979,310
MTSS,D,15/11/16,00:00,220.25,1,187,870
MTSS,D,16/11/16,00:00,221.6,1,434,100
MTSS,D,17/11/16,00:00,220.8,1,283,680
MTSS,D,18/11/16,00:00,220.5,1,879,430
MTSS,D,21/11/16,00:00,224.45,2,262,770
MTSS,D,22/11/16,00:00,223.5,3,430,530
MTSS,D,23/11/16,00:00,225.7,2,811,800
MTSS,D,24/11/16,00:00,228.2,2,671,350
MTSS,D,25/11/16,00:00,227.5,2,083,700
MTSS,D,28/11/16,00:00,229.3,852,740
MTSS,D,29/11/16,00:00,229.55,1,666,500
MTSS,D,30/11/16,00:00,230.25,1,521,490
MTSS,D,01/12/16,00:00,239,3,994,620
MTSS,D,02/12/16,00:00,244.7,4,303,150
MTSS,D,05/12/16,00:00,249.25,3,101,060
MTSS,D,06/12/16,00:00,248.45,3,183,690
MTSS,D,07/12/16,00:00,250.1,3,791,780
MTSS,D,08/12/16,00:00,254,4,070,380
MTSS,D,09/12/16,00:00,256.95,2,795,930
MTSS,D,12/12/16,00:00,261.9,3,544,770
MTSS,D,13/12/16,00:00,259.95,2,193,460
MTSS,D,14/12/16,00:00,259,3,550,860
MTSS,D,15/12/16,00:00,264,5,228,160
MTSS,D,16/12/16,00:00,266.6,2,339,080
MTSS,D,19/12/16,00:00,259.15,1,089,460
MTSS,D,20/12/16,00:00,259.7,1,069,380
MTSS,D,21/12/16,00:00,256,964,310
MTSS,D,22/12/16,00:00,252.8,1,105,830
MTSS,D,23/12/16,00:00,250,1,473,810
MTSS,D,26/12/16,00:00,248.9,553,210
MTSS,D,27/12/16,00:00,248.7,702,410
MTSS,D,28/12/16,00:00,250,1,002,580
MTSS,D,29/12/16,00:00,253.8,1,786,960
MTSS,D,30/12/16,00:00,259,1,659,140
MTSS,D,03/01/17,00:00,262.65,1,673,650
MTSS,D,04/01/17,00:00,259.3,1,058,450
MTSS,D,05/01/17,00:00,260.5,1,288,930
MTSS,D,06/01/17,00:00,257,914,040
MTSS,D,09/01/17,00:00,258.4,674,530
MTSS,D,10/01/17,00:00,255.7,1,859,090
MTSS,D,11/01/17,00:00,257.1,1,501,820
MTSS,D,12/01/17,00:00,257.95,3,162,330
MTSS,D,13/01/17,00:00,262.95,2,578,360
MTSS,D,16/01/17,00:00,263.35,606,020
MTSS,D,17/01/17,00:00,265,2,776,990
MTSS,D,18/01/17,00:00,263.6,1,790,930
MTSS,D,19/01/17,00:00,268,2,492,800
MTSS,D,20/01/17,00:00,272.9,3,913,770
MTSS,D,23/01/17,00:00,267.7,1,680,280
MTSS,D,24/01/17,00:00,265.7,1,243,180
MTSS,D,25/01/17,00:00,268,1,072,440
MTSS,D,26/01/17,00:00,277.5,3,539,130
MTSS,D,27/01/17,00:00,277.05,1,472,270
MTSS,D,30/01/17,00:00,276.35,777,060
MTSS,D,31/01/17,00:00,275.7,939,210
MTSS,D,01/02/17,00:00,279,1,691,720
