VTBR,D,20/05/16,00:00,0.0685,14,233,100,000
VTBR,D,23/05/16,00:00,0.0685,7,494,080,000
VTBR,D,24/05/16,00:00,0.069,9,038,800,000
VTBR,D,25/05/16,00:00,0.0699,15,607,120,000
VTBR,D,26/05/16,00:00,0.07,17,711,800,000
VTBR,D,27/05/16,00:00,0.06922,8,076,410,000
VTBR,D,30/05/16,00:00,0.06987,6,417,650,000
VTBR,D,31/05/16,00:00,0.0684,15,233,270,000
VTBR,D,01/06/16,00:00,0.06832,12,630,280,000
VTBR,D,02/06/16,00:00,0.06792,8,139,920,000
VTBR,D,03/06/16,00:00,0.0684,11,160,540,000
VTBR,D,06/06/16,00:00,0.0695,9,258,140,000
VTBR,D,07/06/16,00:00,0.0703,14,712,190,000
VTBR,D,08/06/16,00:00,0.072,17,449,620,000
VTBR,D,09/06/16,00:00,0.073,27,773,340,000
VTBR,D,10/06/16,00:00,0.0728,24,269,580,000
VTBR,D,14/06/16,00:00,0.071,27,494,020,000
VTBR,D,15/06/16,00:00,0.07013,19,089,700,000
VTBR,D,16/06/16,00:00,0.0692,17,516,890,000
VTBR,D,17/06/16,00:00,0.069,13,196,740,000
VTBR,D,20/06/16,00:00,0.06999,5,855,430,000
VTBR,D,21/06/16,00:00,0.07018,6,169,070,000
VTBR,D,22/06/16,00:00,0.069,9,007,650,000
VTBR,D,23/06/16,00:00,0.0695,5,574,130,000
VTBR,D,24/06/16,00:00,0.06878,15,807,830,000
VTBR,D,27/06/16,00:00,0.067,8,713,380,000
VTBR,D,28/06/16,00:00,0.06763,10,341,590,000
VTBR,D,29/06/16,00:00,0.0687,7,488,910,000
VTBR,D,30/06/16,00:00,0.068,10,217,480,000
VTBR,D,01/07/16,00:00,0.06735,6,757,370,000
VTBR,D,04/07/16,00:00,0.06739,4,493,750,000
VTBR,D,05/07/16,00:00,0.06701,3,583,160,000
VTBR,D,06/07/16,00:00,0.06723,5,450,230,000
VTBR,D,07/07/16,00:00,0.06805,15,040,380,000
VTBR,D,08/07/16,00:00,0.06819,7,138,830,000
VTBR,D,11/07/16,00:00,0.06889,6,734,370,000
VTBR,D,12/07/16,00:00,0.06905,8,523,530,000
VTBR,D,13/07/16,00:00,0.0675,12,091,060,000
VTBR,D,14/07/16,00:00,0.06849,6,716,520,000
VTBR,D,15/07/16,00:00,0.06832,6,858,440,000
VTBR,D,18/07/16,00:00,0.06875,7,168,610,000
VTBR,D,19/07/16,00:00,0.0676,18,744,530,000
VTBR,D,20/07/16,00:00,0.0669,7,330,610,000
VTBR,D,21/07/16,00:00,0.06759,4,005,100,000
VTBR,D,22/07/16,00:00,0.06711,3,578,710,000
VTBR,D,25/07/16,00:00,0.06794,5,470,750,000
VTBR,D,26/07/16,00:00,0.06771,4,664,190,000
VTBR,D,27/07/16,00:00,0.0685,5,148,040,000
VTBR,D,28/07/16,00:00,0.06818,5,044,510,000
VTBR,D,29/07/16,00:00,0.06741,8,038,810,000
VTBR,D,01/08/16,00:00,0.06692,6,040,630,000
VTBR,D,02/08/16,00:00,0.06719,8,816,560,000
VTBR,D,03/08/16,00:00,0.06716,3,996,420,000
VTBR,D,04/08/16,00:00,0.0684,11,250,750,000
VTBR,D,05/08/16,00:00,0.06762,12,715,990,000
VTBR,D,08/08/16,00:00,0.06805,4,583,560,000
VTBR,D,09/08/16,00:00,0.06765,4,293,790,000
VTBR,D,10/08/16,00:00,0.0677,5,908,070,000
VTBR,D,11/08/16,00:00,0.06777,7,556,160,000
VTBR,D,12/08/16,00:00,0.068,6,874,320,000
VTBR,D,15/08/16,00:00,0.0674,26,993,680,000
VTBR,D,16/08/16,00:00,0.0666,27,557,810,000
VTBR,D,17/08/16,00:00,0.067,10,797,620,000
VTBR,D,18/08/16,00:00,0.067,6,228,910,000
